gender,age,Feesav,Dhav,rating,famrel,health,absences,address,guardian,class
F,18,4,4,2,4,3,6,U,mother,0
F,17,1,1,2,5,3,4,U,father,1
F,15,1,1,2,4,3,10,U,mother,1
F,15,4,2,3,3,5,2,U,mother,0
F,16,3,3,2,4,5,4,U,father,0
M,16,4,3,2,5,5,10,U,mother,0
M,16,2,2,2,4,3,0,U,mother,1
F,17,4,4,2,4,1,6,U,mother,0
M,15,3,2,2,4,1,0,U,mother,1
M,15,3,4,2,5,5,0,U,mother,0
F,15,4,4,2,3,2,0,U,mother,0
F,15,2,1,3,5,4,4,U,father,1
M,15,4,4,1,4,5,2,U,father,0
M,15,4,3,2,5,3,2,U,mother,0
M,15,2,2,3,4,3,0,U,other,1
F,16,4,4,1,4,2,4,U,mother,0
F,16,4,4,3,3,2,6,U,mother,0
F,16,3,3,2,5,4,4,U,mother,0
M,17,3,2,1,5,5,16,U,mother,0
M,16,4,3,1,3,5,4,U,father,0
M,15,4,3,2,4,1,0,U,mother,0
M,15,4,4,1,5,5,0,U,father,0
M,16,4,2,2,4,5,2,U,mother,0
M,16,2,2,2,5,5,0,U,mother,1
F,15,2,4,3,4,5,2,R,mother,1
F,16,2,2,1,1,5,14,U,mother,1
M,15,2,2,1,4,5,2,U,mother,1
M,15,4,2,1,2,1,4,U,mother,0
M,16,3,4,2,5,5,4,U,mother,0
M,16,4,4,2,4,5,16,U,mother,0
M,15,4,4,2,5,5,0,U,mother,0
M,15,4,4,2,4,5,0,U,mother,0
M,15,4,3,2,4,5,0,R,mother,0
M,15,3,3,2,5,2,0,U,mother,0
M,16,3,2,1,5,5,0,U,mother,1
F,15,2,3,1,3,5,0,U,father,1
M,15,4,3,3,5,4,2,U,mother,0
M,16,4,4,3,2,5,7,R,mother,0
F,15,3,4,3,4,5,2,R,mother,0
F,15,2,2,1,4,2,8,R,mother,1
F,16,2,2,2,3,3,25,U,mother,0
M,15,4,4,1,5,5,8,U,other,0
M,15,4,4,2,4,5,2,U,father,0
M,15,2,2,1,5,1,0,U,father,1
F,16,2,2,2,4,5,14,U,father,1
F,15,4,3,2,5,5,8,U,mother,0
F,16,3,3,2,2,3,12,U,mother,0
M,16,4,3,4,4,2,4,U,mother,0
M,15,4,2,2,4,5,2,U,mother,0
F,15,4,4,2,4,3,2,U,father,0
F,16,2,2,2,4,4,2,U,mother,1
F,15,4,2,2,4,5,2,U,mother,0
M,15,4,2,1,5,5,6,U,father,0
F,15,4,4,1,3,5,0,U,mother,0
F,15,3,3,1,5,1,6,U,mother,0
F,16,2,1,2,5,2,8,U,mother,1
F,15,4,3,2,4,1,0,U,mother,0
M,15,4,4,2,3,5,4,U,mother,0
M,15,1,2,2,4,5,2,U,father,1
F,16,4,2,2,4,5,2,U,mother,0
F,16,4,4,2,2,4,6,R,mother,0
F,16,1,1,1,5,5,6,U,father,1
F,16,1,2,2,4,1,4,U,father,1
F,16,4,3,3,3,4,2,U,mother,0
F,15,4,3,2,4,2,0,U,father,0
F,16,4,3,2,5,1,2,U,mother,0
M,15,4,4,4,1,3,4,U,mother,0
F,16,3,1,4,4,5,4,U,mother,1
F,15,2,2,2,4,4,2,R,mother,1
F,15,3,1,4,4,3,12,R,father,1
M,16,3,1,4,4,5,0,U,father,1
M,15,4,2,4,3,3,0,U,mother,0
F,15,1,1,2,3,5,2,R,mother,1
M,16,3,1,1,5,5,2,U,mother,1
F,16,3,3,2,4,5,54,U,mother,0
M,15,4,3,2,4,5,6,U,mother,0
M,15,4,0,4,3,1,8,U,mother,0
F,16,2,2,4,5,3,0,U,mother,1
M,17,2,1,1,4,3,2,U,mother,1
F,16,3,4,2,2,3,12,U,mother,1
M,15,2,3,1,3,3,2,U,father,1
M,15,2,3,3,5,5,4,U,mother,1
F,15,3,2,2,4,5,10,U,mother,1
M,15,2,2,2,5,4,4,U,mother,1
F,15,1,1,2,4,4,2,U,father,1
F,15,4,4,2,4,5,6,U,father,0
F,16,2,2,2,4,2,4,U,mother,1
F,15,4,2,3,5,1,4,U,mother,0
M,16,2,2,2,4,3,12,U,father,0
M,16,4,4,2,4,5,18,U,mother,0
F,16,3,3,3,4,4,0,U,mother,0
F,15,4,3,1,4,1,4,U,mother,0
F,16,3,1,2,3,2,4,U,father,1
F,16,4,2,2,5,1,0,U,mother,0
M,15,2,2,4,4,4,6,U,mother,1
F,15,1,1,4,3,1,2,R,mother,1
M,16,4,3,1,3,4,2,R,mother,0
F,16,2,1,2,4,5,2,U,mother,1
F,16,4,4,1,5,1,6,U,mother,0
F,16,4,3,3,5,3,0,U,mother,0
M,16,4,4,1,4,4,14,U,mother,0
M,16,4,4,3,4,4,0,U,father,0
M,15,4,4,1,5,5,4,U,mother,0
F,15,3,2,2,4,2,26,U,mother,0
M,15,3,4,2,5,1,0,U,mother,0
F,15,3,3,4,4,4,10,U,father,0
F,15,2,2,4,5,3,8,U,mother,1
M,16,3,3,3,5,5,2,U,father,0
M,15,4,4,4,1,1,6,R,father,0
F,16,4,4,3,5,4,4,U,mother,0
M,15,4,4,1,5,4,6,U,mother,0
F,16,3,3,3,4,2,0,R,father,0
F,16,2,2,2,3,5,6,U,mother,1
M,15,4,2,1,3,3,10,U,mother,0
M,15,2,1,2,5,5,8,R,mother,1
M,16,4,4,2,5,5,2,U,father,0
M,15,4,4,2,4,2,2,U,father,0
M,16,3,3,1,5,5,0,U,father,0
M,17,1,3,2,5,5,20,R,father,0
M,15,3,4,1,3,4,6,U,father,0
F,15,1,2,2,3,1,2,U,mother,1
M,15,2,2,4,5,5,6,U,father,1
F,16,2,4,2,4,5,2,U,father,0
M,16,4,4,1,3,5,18,U,mother,0
F,16,2,2,2,5,5,0,U,mother,1
M,15,3,4,1,5,5,0,U,father,0
F,15,3,4,2,5,1,0,U,mother,0
F,19,0,1,2,3,5,2,U,other,1
M,18,2,2,1,3,4,0,R,mother,1
